m0,mult
5599.77890589136,126
5606.53067298755,126
5612.08190851561,126
5623.1002243006,126
5629.75847728647,126
5637.14416957044,126
5643.47117823356,126
5653.99689049536,126
5661.05196782366,126
5670.83830794853,126
5679.3712316776,126
5685.69920622835,126
5696.71423328846,126
5706.62826962983,126
5715.98246728067,126
5720.7150048613,126
5724.99926628525,126
5729.59885515951,126
5733.73887444671,126
5738.49508392171,126
5745.8647269041,126
5755.53832626293,126
5761.75385748505,126
5768.41016290254,126
5772.44069818964,126
5778.2706734519,126
5786.50555592781,126
5791.13124111376,126
5807.89311557459,126
5817.50717167536,126
5821.38098729333,126
5831.77446985604,126
5837.29118557624,126
5842.6388640995,126
5850.22223153892,126
5868.61971677264,126
5873.53820612942,126
5884.31872876094,126
5890.06293478606,126
5899.25607049777,126
5904.97370580757,126
5911.79894802473,126
5917.45518859878,126
5923.35007996595,126
5927.54726262016,126
5931.06848731736,126
5939.31846257648,126
5946.44717896626,126
5952.6036964706,126
5958.41369563967,126
5962.92426451072,126
5971.71484980037,126
5976.28474381722,126
5982.6753292965,126
5987.67346644224,126
5996.87785633747,126
6010.7128052611,126
6016.38247896924,126
6025.4139810902,126
6037.86973547777,126
6043.25661123318,126
6048.20473289882,126
6055.08708554991,126
6060.08920387783,126
6067.66159099872,126
6073.1071926849,126
6077.70021729309,126
6083.64064330601,126
6091.86985122505,126
6099.40630514048,126
6108.94925805737,126
6118.72753153093,126
6124.62437538619,126
6132.56441588567,126
6139.40974246177,126
6151.52148591967,126
6160.33707412695,126
6166.791504143,126
6170.70882856222,126
6174.22380145666,126
6183.51376612231,126
6191.8231445397,126
6196.06259487474,126
6206.01097445088,126
6216.13524456193,126
6220.5760346549,126
6224.69747269775,126
6229.23849136964,126
6234.76563840471,126
6243.74436197736,126
6249.64352687141,126
6254.01127263652,126
6263.55320144018,126
6269.40858039451,126
6280.15375001223,126
6285.78165969235,126
6295.72662262141,126
6306.84629210716,126
6316.34557314454,126
6325.20286967988,126
6339.42161145013,126
6344.42421716277,126
6354.02804049756,126
6362.31540684956,126
6368.13451529846,1
6376.68625121499,4
6380.78914668089,4
6389.87076551027,4
6393.71453217707,4
6400.45031548128,19
6408.82641334692,19
6432.3622875023,19
6442.40618515519,19
6451.03749217807,19
6456.16092201874,19
6464.17148151536,19
6472.99834726508,19
6482.58672927864,19
6486.57963980607,19
6497.42165309912,19
6507.49042545502,19
6512.81674944468,19
6529.74489495682,19
6541.28306395182,19
6551.12683576851,19
6565.33271150551,19
6574.97367226313,19
6581.19564133181,19
6597.23335064014,3
6605.3681927836,3
6624.94530459631,3
6632.0202037885,1
6641.06743324064,1
6663.73827710871,1
6678.21123414415,5
6684.37672368483,5
6700.67455839762,5
6706.5287048604,5
6711.85845362501,5
6728.38378159044,12
6738.88519120624,12
6751.07952230914,12
6755.67751613409,12
6770.11181477492,12
6783.86069136863,12
6794.90588242078,12
6802.85207829553,12
6808.68141417158,12
6814.79212796181,12
6820.73087513921,12
6827.48856262479,12
6840.95945289232,75
6847.22861244765,75
6858.72783080314,75
6868.818061019,75
6881.00254466031,75
6890.98122452659,75
6902.61424530773,75
6910.23865017949,75
6923.18975563357,75
6930.78130330028,75
6941.36410282608,75
6950.63615106488,75
6964.98017861769,75
6971.27464123954,75
6978.90023208963,75
6987.20428322112,75
6993.53779114672,75
7003.16848381613,75
7008.25184787416,75
7013.44304505171,75
7018.84308408435,75
7025.12821036761,75
7030.76571768609,75
7043.02308011714,75
7054.19506971213,75
7063.93028479654,75
7071.75341713241,75
7082.33053945514,75
7093.6646552248,75
7098.79460154342,75
7106.35510289567,75
7118.26102440485,75
7124.65906368635,75
7139.14234755996,75
7151.56881705085,75
7159.41641893327,75
7164.86114647544,75
7173.54552601048,75
7181.65698336962,75
7185.7266356403,75
7189.92319080379,75
