index,m0,A,int,SN,mult
431,5972.11284302345,75.6893163801646,515.135407947931,15.8669903159056,1
491,5996.8278046626,147.211230790131,1004.18773448407,24.6325921854215,1
540,6016.47826583437,177.682477287802,1214.23245654932,24.4182544645959,1
595,6039.10217662991,139.431266803701,954.811088372341,16.3501580248475,1
633,6054.49981460253,41.3046506223212,283.248573160367,11.7672522207449,1
26,6071.70780370052,100.373417143634,689.39775217786,23.3578293460917,1
51,6082.34106780419,111.890278509719,769.244908706089,14.8218212905658,3
71,6090.57996604703,111.908736956358,769.949576660912,25.2249012880182,3
92,6098.86219162127,114.797962994516,790.423702444448,22.5538380809918,3
141,6119.00859376306,218.399491634087,1506.51327902398,46.5268183423143,1
188,6138.39434134137,67.8519070721389,468.864721130152,22.0445474575293,3
219,6151.44854839601,63.5054998606977,439.350026479214,14.806707020115,3
243,6161.27520865274,81.0860622030392,561.476921735153,19.8692642106766,3
296,6183.32811102964,96.7904099190443,671.558568405236,18.6365631745939,3
329,6196.85218020651,115.688573011597,803.659668601875,22.7612300592447,3
352,6206.44658212485,339.367210036026,2359.53974362044,22.1257245324589,3
376,6216.47463052457,140.661838267701,978.872326522531,25.1190074206752,2
396,6224.77326221355,153.168396973132,1066.70257120155,30.2994909907763,2
15,6249.61320820595,57.7902909327372,403.3654170638,14.0563598950905,1
91,6281.17030296472,124.555560552011,871.837589712224,25.6319271545948,1
126,6295.70930102334,365.354482820591,2560.65945175676,26.9139267056278,2
153,6307.23772648377,312.297854865783,2191.05763617158,24.1937996494757,2
182,6319.19741969991,175.70623415618,1234.0581914825,30.7487635984793,1
229,6339.04077477958,171.460252577307,1206.36894240606,22.7550784026192,1
264,6353.51182153745,58.4435608263333,411.730213318507,18.8161698246147,2
284,6361.97732263096,63.4057702182848,447.02493876358,16.9975805036236,2
68,6399.5859702654,53.4681649871413,378.222678485243,11.9304845032618,2
91,6409.21589869782,138.589481669879,981.189488438368,30.3946648256206,2
147,6432.86200272623,400.327461116034,2840.18088069792,14.0788919368759,1
170,6442.55236762747,7491.89069487666,53197.7921337855,33.8750173563422,1
219,6463.31593593029,634.040555680439,4510.39195583163,33.6335378094585,1
274,6486.68450910131,240.589398196131,1715.01062351374,49.4953166795755,1
324,6507.97505403574,90.3381457664646,645.169118569846,17.6324892788112,1
20,6527.78322226734,98.3834633144802,703.84766451204,11.0117239221268,1
51,6541.11893977216,377.496891845912,2703.8148528381,42.4727059603442,3
72,6549.94146303459,110.3353194344,790.884781350784,15.7514171505751,3
109,6565.69074249687,77.5388327750535,556.564447162782,25.1345149259609,3
40,6597.46554279632,149.397785605532,1075.33411650925,16.4557477601407,2
58,6605.10045579564,250.810815470608,1806.48393161929,29.0157570597986,2
105,6625.14830880643,557.644511001496,4023.48249224497,26.4458692409067,1
142,6641.07729353168,12741.330721803,92057.6492918143,36.1537812479754,1
194,6663.56682836519,1355.26722189624,9811.06854217039,58.1834894964037,1
242,6684.02706483065,417.429116086556,3027.21037735492,29.1277810297022,1
294,6706.43291100556,196.409200243465,1427.12397813236,45.9889709619304,1
17,6728.20838230922,83.7856908985866,609.93640349352,18.189792489822,2
40,6738.17207018987,56.1587762718094,409.170825653528,13.7001963585631,2
71,6751.48642947187,87.9446532925046,641.495334373014,16.3010332324187,1
19,6769.74666179686,88.1504665666676,644.005271639603,29.0169704956774,1
20,6783.87769691832,104.17087189406,761.968790483288,25.8930873160345,1
64,6803.01502150798,405.413613182267,2970.30229808811,32.434444837789,3
90,6814.36504297623,159.579886460911,1170.31256574721,23.7946549639876,3
108,6822.07993996301,117.77612025003,864.305264334688,27.0713593316112,3
32,6847.49904743899,1128.47447227702,8299.33488529012,29.3418092116668,1
81,6868.77935569873,979.181786656941,7214.42338744759,79.9124027015227,1
132,6891.14286138465,4788.16758608427,35345.4002671636,25.7300337784996,3
156,6901.47561644881,902.129895193567,6665.20343104928,30.7245168032878,3
171,6908.31193015361,594.55961032099,4395.32991894175,48.5867303509045,3
222,6930.46080825804,129.59568957111,959.845308358558,15.8546052233837,1
268,6950.82763926939,4140.18625016893,30716.9643575604,25.7166815146235,2
294,6962.24626840595,890.97081733058,6616.68627020763,47.383863022271,2
332,6978.91945450363,1063.75054107134,7910.92802721962,33.8611082163817,1
366,6993.88643755649,826.257168279024,6152.4804688035,22.6657079746858,3
387,7003.11554641783,438.00251638383,3263.98975737995,30.1511585670992,3
408,7012.27240780465,109.604377027086,817.399485101662,12.7718916641246,3
450,7031.0383147152,358.519736633614,2677.95821000101,27.4569185788147,5
478,7043.26689868065,338.608808608817,2531.82854644932,13.4907089367224,5
503,7054.33523076193,773.616401580009,5789.81088227582,22.4533528045548,5
523,7063.37930714454,448.269167291419,3357.42505382606,36.6290409956731,5
541,7071.2939362187,293.039620483439,2196.24755841217,56.6376601093083,5
567,7082.60576665484,286.587511772848,2149.92232615356,33.4960130814267,1
594,7094.59568433865,159.535684176863,1198.00352002683,14.8665439818589,3
620,7106.26120940806,68.2393875836748,512.929813894628,15.7017612862654,3
647,7118.00133642856,50.5339741868757,380.216650624187,11.309759287772,3
22,7139.02633857418,127.504719457041,961.022950778923,26.1835738302299,1
50,7151.50361914716,288.213419050393,2174.5629541967,60.7158720123462,1
80,7164.89146799447,135.913529337755,1026.60437007607,17.361826940501,2
100,7173.85313518543,82.8702350066359,626.414434767364,14.5566724715626,2
21,7197.96807102296,227.235365988647,1721.1013958275,32.569377177362,4
46,7209.170762701,86.6843367489186,657.163606037464,13.9333388121201,4
