m0,mult
6016.58827050518,1
6037.68210415303,1
6055.63451092775,1
6071.33143749187,1
6083.08549622285,5
6086.78269769575,5
6091.09435264831,5
6098.49959836333,5
6104.28509818702,5
6118.66373818485,1
6133.2700639141,4
6139.09556437956,4
6152.26438975164,4
6160.54693597727,4
6181.63104237804,7
6190.03759853106,7
6197.10611019021,7
6206.23315725794,7
6216.73022673789,7
6223.47648463664,7
6231.99078442399,7
6245.03667432715,2
6250.48575349064,2
6263.50731214963,1
6281.37662650595,1
6295.60896899755,4
6306.90827168211,4
6316.68979169756,4
6325.12880015203,4
6339.2896989029,1
6353.71835112783,2
6361.6486688519,2
6380.63896155729,1
6400.29424580897,2
6408.91468114217,2
6432.99572010388,1
6442.56754978664,1
6451.17859433625,5
6463.8903234941,5
6483.10855981509,5
6487.21326641125,5
6507.91062960495,5
6530.26163071765,5
6541.28087840763,5
6545.46693037327,5
6551.48099426745,5
6566.59955566591,5
6597.43076870023,2
6605.18721414844,2
6625.00218479847,1
6641.06743324064,1
6663.73827710871,1
6683.9845267318,1
6706.12052297395,1
6728.55619186796,3
6739.3155935237,3
6751.65697872666,3
6769.58232253727,1
6783.95379296114,1
6803.09417007861,3
6816.74188534321,3
6821.84990788913,3
6847.44587680716,1
6868.67188595725,1
6891.11072305113,3
6900.45114163478,3
6907.54938446546,3
6931.31725172849,1
6950.82101519072,2
6962.35488503693,2
6978.71537824665,1
6993.76176560315,3
7003.07671166329,3
7012.59764932072,3
7031.0145310886,9
7043.30242195166,9
7054.35513143415,9
7064.59315990119,9
7071.69978939905,9
7082.580424262,9
7093.44247785783,9
7106.49691765312,9
7118.00408592042,9
7138.86209149056,1
7151.55472517625,3
7163.5633263102,3
7173.8530454693,3
7198.08540269012,4
7212.18065903312,4
7218.39257868096,4
7230.59192116153,4
7254.2021785376,1
7271.1486453081,2
7281.55018420924,2
7295.38296619014,2
7308.20705053112,2
7330.18724008953,7
7343.34148261661,7
7355.68820866167,7
7366.49836409718,7
7373.20601855804,7
7386.19247657424,7
7399.27118709435,7
7423.13289082325,5
7432.52681504396,5
7439.34156506721,5
7451.35299334091,5
7462.75586730195,5
7480.65179437059,1
7492.69485765341,2
7499.53929248873,2
7515.23534157845,1
7546.75773668656,6
7563.53772457687,6
7574.21838873839,6
7584.5147081886,6
7595.09036370778,6
7608.02217220422,6
7626.49579820052,1
7650.58392931761,4
7664.46230256924,4
7677.51348561533,4
7687.90122958718,4
7699.80892881404,3
7709.88389009232,3
7719.52513712844,3
7735.39478616118,4
7748.37367760397,4
7757.48544879205,4
7773.42279842167,4
7793.25626921529,2
7804.43971646678,2
7820.1936085712,5
7825.4218542084,5
7832.694851921,5
7843.19477138879,5
7849.4982257952,5
7865.58579360668,1
7876.38728028536,2
7889.12894072985,2
7908.27238140069,2
7922.52141691502,2
7944.91301725592,4
7955.39223375846,4
7965.89464298044,4
7976.48937452242,4
8003.86442816428,1
8022.85138270765,5
8035.55693486149,5
8047.71732233113,5
8058.01663036321,5
8068.40062960089,5
8089.45945504333,3
8101.65093706677,3
8115.78085000215,3
8130.05806808339,7
8134.05153701247,7
8140.66788075823,7
8149.23862951056,7
8158.60822957228,7
8172.18600880733,7
8178.38138572096,7
8197.11191977871,1
8215.45404983536,1
8233.17839050719,6
8244.66609427267,6
8255.47728095553,6
8268.28119310305,6
8280.54071888156,6
8287.96398504082,6
8324.37199786934,3
8337.76391011294,3
8352.26641869494,3
8371.2125128308,5
8384.05501204247,5
8396.93361166835,5
8408.04343103921,5
8419.55805879939,5
8437.1709521572,7
8447.25876713188,7
8458.7805292327,7
8473.84322229364,7
8485.81998192286,7
8497.74600920152,7
8514.17734137949,7
8538.62828557003,2
8549.30754203693,2
8574.32896338696,1
8586.94207937506,7
8591.77563854998,7
8596.80582673312,7
8615.94296485045,7
8620.12120637868,7
8637.88221163482,7
8647.5897307138,7
8667.44156810504,1
8693.67294198262,2
8702.63104412189,2
8712.50145248636,3
8736.35026107289,3
8750.10853286809,3
8776.97059080528,1
8803.21032626834,1
8821.79250680328,1
8831.73226863188,4
8840.65566630086,4
8853.1216661886,4
8863.84831884699,4
8879.19010611659,1
8899.59540713162,3
8909.63065691471,3
8926.69678503112,3
8946.07827620587,1
8971.62875815552,2
8985.21753139353,2
9008.12892523444,1
9028.22270866686,1
9045.64554012329,1
9068.92067637453,1
9087.44997431447,1
9106.5461714463,1
9134.72249361941,2
9146.1898169086,2
9163.95196053733,2
9176.14461156808,2
9197.34995657565,1
9214.05347415891,2
9221.58334827719,2
9251.84926034204,1
9271.68399202915,1
9292.11222834873,1
9313.01644538625,2
9327.36243221054,2
9371.44146569339,2
9383.35370967799,2
9404.28687751394,1
9433.24633024011,1
9446.48227003792,3
9457.93684423792,3
9475.46182244971,3
9495.63104248358,1
9515.3121798908,2
9523.36683163122,2
9540.37948189084,1
9583.69603100366,5
9595.71500337741,5
9608.58043908307,5
9631.45616073416,5
9640.47751988771,5
9654.43920861139,4
9666.0637457417,4
9680.69891863239,4
9710.5305298629,4
9723.8405351383,1
9737.17739243365,3
9745.37760715197,3
9754.46645772197,3
9785.53012145813,3
9798.27628348794,3
9809.21817634259,3
9837.94215736256,1
9863.24421052095,5
9873.09055966728,5
9883.61216110287,5
9893.9656226779,5
9902.8593464392,5
9929.48259144761,1
9940.57421397274,7
9945.79056011961,7
9959.89424586492,7
9970.47697412231,7
9989.16004630298,7
10001.0836274105,7
10015.8218023407,7
10038.7657483538,1
10062.4049616194,1
10086.4927424703,2
10106.3139542812,2
10145.4470612572,2
10151.462846136,2
10171.7152771954,1
10193.1075559212,1
10218.7769473143,1
10242.5157348542,1
10259.9392909464,3
10268.1873829106,3
10290.7703184783,3
10312.5453594418,1
10329.6847365553,1
10352.239429853,1
10374.8533343142,1
10397.9732243926,1
10427.117448201,1
10446.7097196935,6
10457.8090636753,6
10467.3450918354,6
10488.6361298697,6
10502.2861802911,6
10517.2300724319,6
10544.1013796951,3
10559.6033842563,3
10567.2044316065,3
10590.3830559261,2
10603.8153740528,2
10632.4179341436,5
10647.6342114533,5
10655.4788169174,5
10673.3319148675,5
10686.8408930715,5
10705.2072437188,5
10722.2942111939,5
10733.7444873871,5
10746.0662339962,5
10763.6283136507,5
10790.3225340283,6
10810.2124628613,6
10821.0545655069,6
10836.8555497808,6
10849.8128000123,6
10861.7071471395,6
10895.6265841995,2
10909.5357009833,2
10929.703355145,1
10952.3892774767,1
10968.4402482299,3
10978.6813954023,3
10992.7763347773,3
11008.4677070519,6
11018.5371034574,6
11031.7680631171,6
11047.9600993907,6
11058.6123536574,6
11074.0525632524,6
11111.7428216091,9
11119.6515793734,9
11125.1064621578,9
11139.9853961144,9
11158.6899974204,9
11172.2495402932,9
11184.7813132312,9
11192.1784213186,9
11203.0393800867,9
11239.4419397259,1
11264.6121788463,7
11277.1175779466,7
11288.4917458231,7
11300.4858574032,7
11310.6987915554,7
11320.2034477787,7
11334.4628840417,7
11349.0982146981,1
11382.126641641,4
11394.2220838449,4
11404.2405558731,4
11420.0643450921,4
11450.9110577267,8
11462.0577008454,8
11469.7678930573,8
11487.3068077974,8
11506.2083898332,8
11516.4383818936,8
11526.4900385792,8
11539.8903513535,8
11554.3002530214,4
11564.5650483879,4
11572.3118034247,4
11579.4931798336,4
11617.0868556979,1
11638.2660346444,1
11661.2660414051,3
11682.0340136458,3
11695.1999688593,3
11709.152263444,1
11741.9618352576,3
11760.1286266471,3
11774.4379351866,3
11795.2675750679,2
11807.0254487644,2
11840.6799718637,1
11888.4340652202,9
11904.678198556,9
11918.7205602063,9
11931.4658058839,9
11948.1863773204,9
11962.9114470878,9
11976.4212971559,9
11994.5611126576,9
12009.7441939326,9
12036.6803391508,1
12063.1629921478,2
12074.9889740009,2
12104.1663587802,7
12119.9346384974,7
12134.1219224604,7
12139.5732188539,7
12146.0105495113,7
12154.5941011213,7
12168.1344524683,7
12191.2035714083,1
12213.9680706997,1
12283.4768754363,8
12293.4404764921,8
12307.7617529548,8
12326.6854524406,8
12346.8954589163,8
12357.513144621,8
12375.6098980816,8
12395.5323670928,8
12423.7719902471,1
12463.8409415454,3
12479.7546914743,3
12493.9292930981,3
12516.123604002,1
12568.2979338888,5
12585.2046641013,5
12602.8599395013,5
12620.0635838261,5
12630.97320518,5
12644.1908538237,8
12666.8664406997,8
12684.4506314827,8
12702.2464854036,8
12717.1732796417,8
12733.0534898075,8
12745.0185725062,8
12756.5621659045,8
12792.7763488688,4
12809.8885605533,4
12832.9954049839,4
12841.6040680245,4
12858.7042188928,10
12876.1989630601,10
12888.8760857914,10
12898.4905508937,10
12904.717520382,10
12910.7999232053,10
12922.5863766158,10
12939.1368054014,10
12957.2358172741,10
12974.6879053238,10
12996.9997298323,1
13040.0062924575,2
13058.2775704151,2
13082.2882910118,2
13100.5512459474,2
13123.8747877713,2
13141.3756638183,2
13165.4757232692,2
13181.2791156865,2
13208.1527447827,1
13255.6268004459,1
13282.8402281371,1
13306.1870647514,8
13327.3600630636,8
13348.3542573927,8
13370.1701323931,8
13382.948054262,8
13402.5539032627,8
13421.7415948895,8
13437.4922530679,8
13464.3040876222,1
13501.9985696037,4
13518.7111952034,4
13534.2083227612,4
13551.4051472624,4
13576.2617296173,4
13583.9819633463,4
13601.4176471701,4
13620.9907824492,4
13642.3171937584,1
13687.6281483513,1
13732.0098000835,1
13757.6451082826,2
13774.7748448717,2
13789.6916111955,2
